lat,lon,allocatedcity,concat
52.9,-1.4,birmingham,52.9:-1.4
53.9,-3,kendal,53.9:-3
55.9,-3.6,edinburgh,55.9:-3.6
53.4,-0.8,sheffield,53.4:-0.8
54.6,-1.3,newcastle,54.6:-1.3
53.2,-2.9,warrington,53.2:-2.9
51.5,0.6,london,51.5:0.6
51.7,-0.5,london,51.7:-0.5
53.3,-2.2,warrington,53.3:-2.2
54.3,-2.8,kendal,54.3:-2.8
52.6,-1.8,birmingham,52.6:-1.8
51.4,-0.9,london,51.4:-0.9
53.5,-2.1,warrington,53.5:-2.1
56.6,-2.6,Aberdeen,56.6:-2.6
52.1,0.4,norwich,52.1:0.4
53.8,-1.8,sheffield,53.8:-1.8
51.2,-0.8,london,51.2:-0.8
51.7,0.5,london,51.7:0.5
51.6,-2.2,oxford,51.6:-2.2
51.5,-3.5,cardiff,51.5:-3.5
51.4,-3.3,cardiff,51.4:-3.3
52.3,-2.1,birmingham,52.3:-2.1
52.5,1,norwich,52.5:1
52.3,-2.2,birmingham,52.3:-2.2
52,1.3,norwich,52:1.3
50.8,-0.4,brighton,50.8:-0.4
55.7,-3.9,edinburgh,55.7:-3.9
51.4,-0.4,london,51.4:-0.4
51.6,0.7,london,51.6:0.7
50.7,-3.5,okehampton,50.7:-3.5
50.9,-3.4,okehampton,50.9:-3.4
53.1,-1.2,sheffield,53.1:-1.2
56,-3.4,edinburgh,56:-3.4
51,0.3,brighton,51:0.3
51.7,-0.3,london,51.7:-0.3
51.8,-1.4,oxford,51.8:-1.4
50.6,-3.4,okehampton,50.6:-3.4
51,-1.4,salisbury,51:-1.4
50.8,-0.7,brighton,50.8:-0.7
53.4,-1.4,sheffield,53.4:-1.4
53.8,-2.2,warrington,53.8:-2.2
53.7,-2.2,warrington,53.7:-2.2
52.9,-1.3,birmingham,52.9:-1.3
50.9,-0.5,brighton,50.9:-0.5
51.5,-2.1,salisbury,51.5:-2.1
53.6,-1.8,sheffield,53.6:-1.8
51.6,-0.9,oxford,51.6:-0.9
51.7,-2.1,oxford,51.7:-2.1
52.7,-0.5,peterborough,52.7:-0.5
52.4,-0.1,peterborough,52.4:-0.1
52.1,-1.8,birmingham,52.1:-1.8
53,-1.3,sheffield,53:-1.3
52.3,-1.6,birmingham,52.3:-1.6
52,0,london,52:0
53.8,-0.4,scarborough,53.8:-0.4
51.2,0.4,london,51.2:0.4
53.5,-0.3,sheffield,53.5:-0.3
52.1,-0.3,peterborough,52.1:-0.3
53.4,-1.3,sheffield,53.4:-1.3
53.6,-2.8,warrington,53.6:-2.8
53.7,-2.4,warrington,53.7:-2.4
53.4,-2.5,warrington,53.4:-2.5
55.6,-4.5,dumfries,55.6:-4.5
51.2,-1.8,salisbury,51.2:-1.8
51.7,-1.2,oxford,51.7:-1.2
51.9,0.8,london,51.9:0.8
51.4,0.4,london,51.4:0.4
54.5,-0.6,scarborough,54.5:-0.6
53.2,-2.6,warrington,53.2:-2.6
53.3,-0.4,sheffield,53.3:-0.4
50.6,-3.7,okehampton,50.6:-3.7
52,-0.8,oxford,52:-0.8
51.3,-0.9,london,51.3:-0.9
52.9,-1.2,birmingham,52.9:-1.2
51.5,0.2,london,51.5:0.2
52.3,-0.9,peterborough,52.3:-0.9
52.8,0.8,norwich,52.8:0.8
51.7,-2.2,oxford,51.7:-2.2
54.6,-1.2,newcastle,54.6:-1.2
54.1,-6.3,dumfries,54.1:-6.3
52.8,-2.1,birmingham,52.8:-2.1
54.6,-5.8,dumfries,54.6:-5.8
51.6,0.2,london,51.6:0.2
51.1,0.2,brighton,51.1:0.2
50.9,-2.7,salisbury,50.9:-2.7
51.7,-4,cardiff,51.7:-4
53.3,-2.1,warrington,53.3:-2.1
54.8,-1.8,newcastle,54.8:-1.8
55,-1.7,newcastle,55:-1.7
55.4,-4.7,dumfries,55.4:-4.7
52,0.7,norwich,52:0.7
52.1,-2.2,birmingham,52.1:-2.2
53,-1.4,sheffield,53:-1.4
54.1,-2.6,kendal,54.1:-2.6
51.8,-1.5,oxford,51.8:-1.5
50.4,-4.9,okehampton,50.4:-4.9
50.6,-3.6,okehampton,50.6:-3.6
50.9,-0.4,brighton,50.9:-0.4
54.5,-6.3,dumfries,54.5:-6.3
51.8,0,london,51.8:0
52.8,-1.7,birmingham,52.8:-1.7
52.4,-2.2,birmingham,52.4:-2.2
53.1,-1,sheffield,53.1:-1
52.6,1.7,norwich,52.6:1.7
50.9,-2.9,salisbury,50.9:-2.9
